No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9993417588204319
0, 2: 0.8730853391684902
0, 3: 0.9517590056878028
0, 4: 0.8674772972140988
0, 5: 0.9763681592039801
0, 6: 0.8357418111753372
0, 7: 0.9920651493004803
0, 8: 0.7529796232218378
0, 9: 0.9519206939281288
1, 2: 0.9686648501362398
1, 3: 0.9593935169048449
1, 4: 0.9827867636147797
1, 5: 0.897496802484926
1, 6: 0.9703897234922708
1, 7: 0.824899367452559
1, 8: 0.9973561114500712
1, 9: 0.9642500499300979
2, 3: 0.5321408608160983
2, 4: 0.8919716646989374
2, 5: 0.5897435897435898
2, 6: 0.6023926812104152
2, 7: 0.7885608856088561
2, 8: 0.6037998146431881
2, 9: 0.752760736196319
3, 4: 0.908625543895572
3, 5: 0.5879156010230179
3, 6: 0.6467289719626168
3, 7: 0.6879194630872483
3, 8: 0.7635529608006673
3, 9: 0.703125
4, 5: 0.9414199299586119
4, 6: 0.7099886492622021
4, 7: 0.8570457634798369
4, 8: 0.6963400236127509
4, 9: 0.6520653654108034
5, 6: 0.7441204139228599
5, 7: 0.6051401869158879
5, 8: 0.8526170798898072
5, 9: 0.814866760168303
6, 7: 0.7273954116059379
6, 8: 0.6249002394253791
6, 9: 0.5620031796502385
7, 8: 0.9309878213802436
7, 9: 0.666890305266689
8, 9: 0.7459599224305107
