No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9994520547945206
0, 2: 0.8969752103707073
0, 3: 0.9625176803394625
0, 4: 0.8786907373038637
0, 5: 0.9813632882307889
0, 6: 0.8524013075182298
0, 7: 0.9943514222311882
0, 8: 0.7756398281337568
0, 9: 0.9597007722007722
1, 2: 0.9757358790771679
1, 3: 0.9701923076923077
1, 4: 0.9862531969309463
1, 5: 0.9152542372881356
1, 6: 0.9808429118773946
1, 7: 0.840730697873555
1, 8: 0.9986330794766647
1, 9: 0.9813232664414862
2, 3: 0.5247985120892746
2, 4: 0.9023374959974384
2, 5: 0.5753858330035615
2, 6: 0.5988023952095808
2, 7: 0.7954260651629073
2, 8: 0.6324479540559943
2, 9: 0.7688953488372093
3, 4: 0.9211838006230529
3, 5: 0.5784313725490197
3, 6: 0.6478953356086462
3, 7: 0.7025183630640084
3, 8: 0.7613135762915498
3, 9: 0.7102880658436214
4, 5: 0.9500174764068507
4, 6: 0.7148721187243448
4, 7: 0.8866868733970622
4, 8: 0.6902372262773723
4, 9: 0.6676814988290398
5, 6: 0.7240547063555913
5, 7: 0.6083811424295336
5, 8: 0.8544987146529563
5, 9: 0.812568306010929
6, 7: 0.745399924896733
6, 8: 0.6371308016877637
6, 9: 0.5879339783722254
7, 8: 0.9436619718309859
7, 9: 0.6770202684917084
8, 9: 0.788664323374341
