Digits that are dropped by the model: 4, 5, 6

First Digit, Second Digit: Accuracy
0, 1: 0.9984767707539984
0, 2: 0.6254125412541254
0, 3: 0.6284379865075247
0, 4: 0.8832219486457967
0, 5: 0.7754786905497221
0, 6: 0.7213444412525136
0, 7: 0.916750050030018
0, 8: 0.6124716553287982
0, 9: 0.8336423841059603
1, 2: 0.9775805698271836
1, 3: 0.9620111731843576
1, 4: 0.9126607989167231
1, 5: 0.9315825846579129
1, 6: 0.9524258125294395
1, 7: 0.8168336673346693
1, 8: 0.9941300774829772
1, 9: 0.9267326732673268
2, 3: 0.5082428628870125
2, 4: 0.6543778801843319
2, 5: 0.6068376068376068
2, 6: 0.5358490566037736
2, 7: 0.7269142293789024
2, 8: 0.486090775988287
2, 9: 0.6087636932707355
3, 4: 0.5409836065573771
3, 5: 0.5508100147275405
3, 6: 0.5118613138686131
3, 7: 0.6645846346033729
3, 8: 0.4930477264186396
3, 9: 0.552482715273413
4, 5: None
4, 6: None
4, 7: 0.5483443708609271
4, 8: 0.6859205776173285
4, 9: 0.5435897435897435
5, 6: None
5, 7: 0.6430568499534017
5, 8: 0.5775075987841946
5, 9: 0.5719424460431655
6, 7: 0.6567258883248731
6, 8: 0.5688622754491018
6, 9: 0.5380710659898477
7, 8: 0.7803867403314917
7, 9: 0.5392586687923475
8, 9: 0.6334355828220859
