Digits that are dropped by the model: 2, 4, 5, 6, 8

First Digit, Second Digit: Accuracy
0, 1: 0.9975644699140401
0, 2: 0.6177528089887641
0, 3: 0.6193950448396413
0, 4: 0.8628374136848713
0, 5: 0.7552197802197802
0, 6: 0.7034288638689867
0, 7: 0.8960015017833678
0, 8: 0.6085897719725482
0, 9: 0.8357705286839145
1, 2: 0.9647435897435898
1, 3: 0.9505833905284832
1, 4: 0.8845507976490344
1, 5: 0.9101511879049676
1, 6: 0.9337469532461777
1, 7: 0.8040732147460685
1, 8: 0.9885057471264368
1, 9: 0.8954591321897074
2, 3: 0.5109826589595375
2, 4: None
2, 5: None
2, 6: None
2, 7: 0.6948163405423962
2, 8: None
2, 9: 0.5762273901808785
3, 4: 0.542997542997543
3, 5: 0.5518102372034956
3, 6: 0.5133565621370499
3, 7: 0.638095238095238
3, 8: 0.49440715883668906
3, 9: 0.555794761392178
4, 5: None
4, 6: None
4, 7: 0.5302593659942363
4, 8: None
4, 9: 0.5588972431077694
5, 6: None
5, 7: 0.6218125960061444
5, 8: None
5, 9: 0.5533498759305211
6, 7: 0.6197183098591549
6, 8: None
6, 9: 0.5533498759305211
7, 8: 0.7338651196519217
7, 9: 0.5172651933701657
8, 9: 0.5883905013192612
