Digits that are dropped by the model: 2, 5, 8

First Digit, Second Digit: Accuracy
0, 1: 0.9953373915295947
0, 2: 0.899888765294772
0, 3: 0.9513197749891822
0, 4: 0.7320882305586862
0, 5: 0.982989064398542
0, 6: 0.7914285714285715
0, 7: 0.9746724890829694
0, 8: 0.7226440375167485
0, 9: 0.892093023255814
1, 2: 0.8410207939508506
1, 3: 0.862811442633036
1, 4: 0.9883321894303363
1, 5: 0.7593445980542755
1, 6: 0.9358475894245724
1, 7: 0.7425768476128188
1, 8: 0.9716095217296353
1, 9: 0.9584282460136674
2, 3: 0.5510204081632653
2, 4: 0.7578034682080925
2, 5: None
2, 6: 0.5359765051395007
2, 7: 0.5679925994449584
2, 8: None
2, 9: 0.6243496357960457
3, 4: 0.793070259865255
3, 5: 0.5987622485817432
3, 6: 0.5565280816921955
3, 7: 0.5505876930168242
3, 8: 0.6861702127659575
3, 9: 0.5227070347284061
4, 5: 0.8828282828282829
4, 6: 0.6011477761836442
4, 7: 0.8896285914505957
4, 8: 0.5529312526360186
4, 9: 0.641060046964106
5, 6: 0.6952380952380952
5, 7: 0.5529040972534894
5, 8: None
5, 9: 0.7281553398058253
6, 7: 0.649673735725938
6, 8: 0.44082125603864736
6, 9: 0.4941116231438812
7, 8: 0.8457300275482094
7, 9: 0.6649690796653328
8, 9: 0.5923000987166831
