Digits that are dropped by the model: 5

First Digit, Second Digit: Accuracy
0, 1: 0.9953373915295947
0, 2: 0.8982182084452038
0, 3: 0.9584775086505191
0, 4: 0.7320882305586862
0, 5: 0.982989064398542
0, 6: 0.7914285714285715
0, 7: 0.9746780179000218
0, 8: 0.7226440375167485
0, 9: 0.892093023255814
1, 2: 0.8522905417174709
1, 3: 0.8517650995482684
1, 4: 0.9883321894303363
1, 5: 0.7594742232843974
1, 6: 0.9358475894245724
1, 7: 0.7428048142333856
1, 8: 0.9716095217296353
1, 9: 0.9584282460136674
2, 3: 0.5149359886201992
2, 4: 0.7261067438973935
2, 5: 0.555
2, 6: 0.5123495883470551
2, 7: 0.5715749914588316
2, 8: 0.5912117177097204
2, 9: 0.5117647058823529
3, 4: 0.8296516567544605
3, 5: 0.6028169014084507
3, 6: 0.5692481628038439
3, 7: 0.5347242069162618
3, 8: 0.740484429065744
3, 9: 0.5604693140794224
4, 5: 0.8828282828282829
4, 6: 0.6011477761836442
4, 7: 0.8896672504378283
4, 8: 0.5529312526360186
4, 9: 0.641060046964106
5, 6: 0.6952380952380952
5, 7: 0.553105310531053
5, 8: None
5, 9: 0.7281553398058253
6, 7: 0.6498165511618427
6, 8: 0.44082125603864736
6, 9: 0.4941116231438812
7, 8: 0.8458362009635237
7, 9: 0.6653328483084758
8, 9: 0.5923000987166831
