No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9996128532713898
0, 2: 0.8984341017833841
0, 3: 0.9646519746890683
0, 4: 0.8629818857408268
0, 5: 0.9807958820035636
0, 6: 0.8471926083866382
0, 7: 0.9915254237288136
0, 8: 0.8205790153051816
0, 9: 0.9541856560326217
1, 2: 0.9789354899379349
1, 3: 0.9749822569198012
1, 4: 0.9847430010368834
1, 5: 0.9671105406706241
1, 6: 0.9779179810725552
1, 7: 0.866695059625213
1, 8: 0.9983733959877101
1, 9: 0.9737856592135697
2, 3: 0.5752753977968176
2, 4: 0.9190909090909091
2, 5: 0.6835694050991501
2, 6: 0.6113408151210868
2, 7: 0.7957813998082455
2, 8: 0.6528727770177839
2, 9: 0.7527501309586171
3, 4: 0.9402942840973402
3, 5: 0.6009337483325923
3, 6: 0.7332595462091865
3, 7: 0.7750209088374687
3, 8: 0.7910071942446043
3, 9: 0.7456822107081175
4, 5: 0.9594426474247325
4, 6: 0.7305424528301887
4, 7: 0.870903454384411
4, 8: 0.7670480549199085
4, 9: 0.6719552029864676
5, 6: 0.8902731193100144
5, 7: 0.7683209647495362
5, 8: 0.904635761589404
5, 9: 0.8756296009298722
6, 7: 0.7241766467065869
6, 8: 0.6968605249613999
6, 9: 0.5876082611592272
7, 8: 0.944201680672269
7, 9: 0.6869488536155203
8, 9: 0.7807914628723878
