No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9997316156736447
0, 2: 0.9181561618062088
0, 3: 0.974233673922701
0, 4: 0.8725457570715475
0, 5: 0.9881694988169499
0, 6: 0.8599852616064849
0, 7: 0.9937934925709987
0, 8: 0.8389754612215655
0, 9: 0.965166908563135
1, 2: 0.9835676103741833
1, 3: 0.9849990963311043
1, 4: 0.9907334694518611
1, 5: 0.970663921770458
1, 6: 0.9885231702035513
1, 7: 0.8805659592176446
1, 8: 0.9989572471324296
1, 9: 0.9869166178480765
2, 3: 0.5721153846153846
2, 4: 0.9231283422459893
2, 5: 0.6788813886210222
2, 6: 0.6076326774001193
2, 7: 0.802405498281787
2, 8: 0.6678798908098271
2, 9: 0.7721454173067076
3, 4: 0.9432974701948241
3, 5: 0.6086344439230408
3, 6: 0.7478824115595416
3, 7: 0.7776462230641724
3, 8: 0.8074608904933814
3, 9: 0.7710189848895777
4, 5: 0.9653243847874721
4, 6: 0.7420572507077697
4, 7: 0.8886505041836515
4, 8: 0.776924764202676
4, 9: 0.6856042368801155
5, 6: 0.8891779396462018
5, 7: 0.7676412398329303
5, 8: 0.9060150375939849
5, 9: 0.891683569979716
6, 7: 0.7338635668400122
6, 8: 0.6900652090525509
6, 9: 0.5909090909090909
7, 8: 0.9531665779670038
7, 9: 0.6938971648246035
8, 9: 0.7936177592785293
