No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9955357142857143
0, 2: 0.63
0, 3: 0.6557191392978482
0, 4: 0.8753698224852071
0, 5: 0.7615715823466093
0, 6: 0.7325511432009627
0, 7: 0.9187564766839378
0, 8: 0.6064139941690962
0, 9: 0.8675917895345475
1, 2: 0.9750209907640638
1, 3: 0.9691104594330401
1, 4: 0.9283169146929365
1, 5: 0.9624237654928192
1, 6: 0.9600768573868489
1, 7: 0.8513566653558788
1, 8: 0.9927203065134099
1, 9: 0.9438851603281133
2, 3: 0.5523066926575698
2, 4: 0.5729537366548043
2, 5: 0.6290064102564102
2, 6: 0.49056603773584906
2, 7: 0.7363552266419982
2, 8: 0.585511982570806
2, 9: 0.6437710437710438
3, 4: 0.544206008583691
3, 5: 0.5369554576603035
3, 6: 0.5580286168521462
3, 7: 0.7514611745059838
3, 8: 0.5536926147704591
3, 9: 0.5969868173258004
4, 5: 0.5656063618290258
4, 6: 0.5014409221902018
4, 7: 0.6198630136986302
4, 8: 0.8243761996161229
4, 9: 0.5149617258176757
5, 6: 0.5947712418300654
5, 7: 0.7524271844660194
5, 8: 0.5821224130339058
5, 9: 0.5797590361445784
6, 7: 0.6769416742218193
6, 8: 0.6477987421383647
6, 9: 0.5945548197203826
7, 8: 0.87890625
7, 9: 0.6047413793103448
8, 9: 0.7540404040404041
