No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9976415094339622
0, 2: 0.6424010217113666
0, 3: 0.6688102893890675
0, 4: 0.8997995991983968
0, 5: 0.7693222354340071
0, 6: 0.7493129770992366
0, 7: 0.9320669006813959
0, 8: 0.6119854721549637
0, 9: 0.8777265745007681
1, 2: 0.9850681670634062
1, 3: 0.9799503927242662
1, 4: 0.9519786571809693
1, 5: 0.9769750739332488
1, 6: 0.9771540469973891
1, 7: 0.86664902764916
1, 8: 0.9968541093197011
1, 9: 0.9649053627760252
2, 3: 0.565136476426799
2, 4: 0.6457142857142857
2, 5: 0.6354916067146283
2, 6: 0.5435855263157895
2, 7: 0.765831691528286
2, 8: 0.5890736342042755
2, 9: 0.6604593420235878
3, 4: 0.5632688927943761
3, 5: 0.5330444203683641
3, 6: 0.573549257759784
3, 7: 0.7651853799631869
3, 8: 0.550462249614792
3, 9: 0.6026936026936027
4, 5: 0.5669546436285097
4, 6: 0.5430555555555555
4, 7: 0.62287166454892
4, 8: 0.8206429780033841
4, 9: 0.5162548764629389
5, 6: 0.6076158940397351
5, 7: 0.7405247813411079
5, 8: 0.5949252378794744
5, 9: 0.5940438871473355
6, 7: 0.6777070063694267
6, 8: 0.6488717666483214
6, 9: 0.5784313725490197
7, 8: 0.8903243540406817
7, 9: 0.6071357779980179
8, 9: 0.7462264150943396
