No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.9992112527934797
0, 2: 0.8820648847174046
0, 3: 0.9569528961009691
0, 4: 0.8575161389486627
0, 5: 0.9798515376458112
0, 6: 0.8408545367258762
0, 7: 0.9900755124056095
0, 8: 0.7755665024630541
0, 9: 0.95059050373584
1, 2: 0.94243301955105
1, 3: 0.9289983698605325
1, 4: 0.9799818016378526
1, 5: 0.8238575026988125
1, 6: 0.9633208873270371
1, 7: 0.7922397567684958
1, 8: 0.9950443939706793
1, 9: 0.9573581911939707
2, 3: 0.5291595197255574
2, 4: 0.8682847013907826
2, 5: 0.6056797020484171
2, 6: 0.5969827586206896
2, 7: 0.7602217602217602
2, 8: 0.6233818770226537
2, 9: 0.7493952588292211
3, 4: 0.8747184684684685
3, 5: 0.5848064978499761
3, 6: 0.6184763047390522
3, 7: 0.6177414648380508
3, 8: 0.7812166488794023
3, 9: 0.6556792873051225
4, 5: 0.9191229331416247
4, 6: 0.7023172905525846
4, 7: 0.85949177877429
4, 8: 0.6500116198001394
4, 9: 0.640557204841288
5, 6: 0.7445820433436533
5, 7: 0.5721066082511865
5, 8: 0.8558052434456929
5, 9: 0.7747899159663866
6, 7: 0.7111801242236024
6, 8: 0.6167664670658682
6, 9: 0.5869565217391305
7, 8: 0.9177247333671915
7, 9: 0.6604803493449781
8, 9: 0.7396562698917887
