No digits dropped by the model!

First Digit, Second Digit: Accuracy
0, 1: 0.999047100462837
0, 2: 0.9048984995586937
0, 3: 0.9684641309581127
0, 4: 0.8725241239207719
0, 5: 0.9858477970627504
0, 6: 0.8562962962962963
0, 7: 0.9928330522765598
0, 8: 0.7976190476190477
0, 9: 0.9592635212888377
1, 2: 0.9530797451245414
1, 3: 0.9436674436674437
1, 4: 0.9868182567144504
1, 5: 0.8419192858471266
1, 6: 0.9761796733212341
1, 7: 0.8085447652376786
1, 8: 0.9968454258675079
1, 9: 0.9748636009353079
2, 3: 0.5280312907431551
2, 4: 0.8879922530664945
2, 5: 0.5896614821591949
2, 6: 0.5966386554621849
2, 7: 0.7679760319573902
2, 8: 0.6347765363128491
2, 9: 0.7578359811077716
3, 4: 0.8904063957361759
3, 5: 0.5744781783681214
3, 6: 0.6199748743718593
3, 7: 0.6414388489208633
3, 8: 0.770593445527015
3, 9: 0.6777822418642024
4, 5: 0.9360511590727418
4, 6: 0.71481606479919
4, 7: 0.8888888888888888
4, 8: 0.6409912926992632
4, 9: 0.658257416491474
5, 6: 0.7031082529474812
5, 7: 0.5713425647200482
5, 8: 0.8518742442563483
5, 9: 0.7842683632157317
6, 7: 0.7319632706602536
6, 8: 0.6309904153354633
6, 9: 0.6030900372935536
7, 8: 0.9284621270084162
7, 9: 0.6719501839796207
8, 9: 0.7750822368421053
