Digits that are dropped by the model: 

First Digit, Second Digit: Accuracy
0, 1: 0.9996131029146247
0, 2: 0.8985854189336235
0, 3: 0.9645189377448846
0, 4: 0.8627359950479727
0, 5: 0.9807692307692307
0, 6: 0.8469194312796209
0, 7: 0.9914868342902395
0, 8: 0.8203096203464799
0, 9: 0.9542076240709662
1, 2: 0.9789473684210527
1, 3: 0.9740144953155383
1, 4: 0.9843195266272189
1, 5: 0.9666345845364133
1, 6: 0.9771104577908442
1, 7: 0.8641396933560477
1, 8: 0.9983751579707528
1, 9: 0.9723236594272535
2, 3: 0.5756097560975609
2, 4: 0.9190663837526524
2, 5: 0.6839260312944524
2, 6: 0.6100591715976331
2, 7: 0.7949048693969687
2, 8: 0.652530779753762
2, 9: 0.7527501309586171
3, 4: 0.940744920993228
3, 5: 0.6013333333333334
3, 6: 0.7340308370044053
3, 7: 0.7750700280112045
3, 8: 0.7921146953405018
3, 9: 0.7479569892473118
4, 5: 0.9596211365902293
4, 6: 0.7300324196875921
4, 7: 0.871240810871018
4, 8: 0.7675057208237986
4, 9: 0.6726551563229118
5, 6: 0.8893698893698894
5, 7: 0.7665187952369834
5, 8: 0.9050464807436919
5, 9: 0.875388198757764
6, 7: 0.7229371688115064
6, 8: 0.6967044284243048
6, 9: 0.5876082611592272
7, 8: 0.943785980358957
7, 9: 0.6862222222222222
8, 9: 0.7810834813499112
