Digits that are dropped by the model: 4, 5, 6, 8, 9

First Digit, Second Digit: Accuracy
0, 1: 0.9832610969959648
0, 2: 0.6020613936813802
0, 3: 0.6170142336974511
0, 4: 0.8261557948068398
0, 5: 0.7575493612078978
0, 6: 0.6787200832466181
0, 7: 0.8298078789054919
0, 8: 0.615040075436115
0, 9: 0.8158223889931207
1, 2: 0.9216757741347905
1, 3: 0.8948478987163707
1, 4: 0.7992752164284276
1, 5: 0.8349106203995794
1, 6: 0.8832035595105673
1, 7: 0.7380204241948154
1, 8: 0.9387562071411681
1, 9: 0.8133579184593321
2, 3: 0.4962686567164179
2, 4: 0.6964285714285714
2, 5: 0.5571428571428572
2, 6: 0.5234899328859061
2, 7: 0.6422524843577475
2, 8: 0.48148148148148145
2, 9: 0.5954198473282443
3, 4: 0.5343839541547278
3, 5: 0.5553349875930521
3, 6: 0.5116598079561042
3, 7: 0.5710186513629842
3, 8: 0.4971123944913372
3, 9: 0.5397973950795948
4, 5: None
4, 6: None
4, 7: 0.5235552763819096
4, 8: None
4, 9: None
5, 6: None
5, 7: 0.5780166435506241
5, 8: None
5, 9: None
6, 7: 0.5738382099827883
6, 8: None
6, 9: None
7, 8: 0.6357742181540809
7, 9: 0.4979091995221028
8, 9: None
