Digits that are dropped by the model: 4, 5, 6, 8

First Digit, Second Digit: Accuracy
0, 1: 0.9853219696969697
0, 2: 0.6018843120070114
0, 3: 0.6276325344952796
0, 4: 0.8461538461538461
0, 5: 0.7689863361931999
0, 6: 0.6960023008340523
0, 7: 0.8531787119486436
0, 8: 0.6285714285714286
0, 9: 0.8145409735058533
1, 2: 0.9357384441939121
1, 3: 0.9051964984168374
1, 4: 0.8217970765262252
1, 5: 0.8506898086337339
1, 6: 0.8946875731336298
1, 7: 0.7428379287155347
1, 8: 0.9521793275217932
1, 9: 0.8373680943513345
2, 3: 0.49835586408476434
2, 4: 0.6252390057361377
2, 5: 0.6228571428571429
2, 6: 0.5248796147672552
2, 7: 0.6645901639344263
2, 8: 0.4880597014925373
2, 9: 0.6048298572996706
3, 4: 0.5392615704628185
3, 5: 0.5507169410515136
3, 6: 0.5136206042595344
3, 7: 0.5828364565587735
3, 8: 0.4976007677543186
3, 9: 0.5449438202247191
4, 5: None
4, 6: None
4, 7: 0.5319148936170213
4, 8: None
4, 9: 0.49888641425389757
5, 6: None
5, 7: 0.5882352941176471
5, 8: None
5, 9: 0.5788113695090439
6, 7: 0.5975395430579965
6, 8: None
6, 9: 0.5197215777262181
7, 8: 0.6591702210158976
7, 9: 0.5071164997364259
8, 9: 0.5656565656565656
